nuts3;nuts2;bidding_zone
DEB24;DEB2;DE_LU
DEB25;DEB2;DE_LU
DEB31;DEB3;DE_LU
DEB32;DEB3;DE_LU
DEB33;DEB3;DE_LU
DEB34;DEB3;DE_LU
DEB35;DEB3;DE_LU
DEB36;DEB3;DE_LU
DEB37;DEB3;DE_LU
DEB38;DEB3;DE_LU
DEB39;DEB3;DE_LU
DEB3A;DEB3;DE_LU
DEB3B;DEB3;DE_LU
DEB3C;DEB3;DE_LU
DEB3D;DEB3;DE_LU
DEB3E;DEB3;DE_LU
DEB3F;DEB3;DE_LU
DEB3G;DEB3;DE_LU
DEB3H;DEB3;DE_LU
DEB3I;DEB3;DE_LU
DEB3J;DEB3;DE_LU
DEB3K;DEB3;DE_LU
DEC01;DEC0;DE_LU
DEC02;DEC0;DE_LU
DEC03;DEC0;DE_LU
DEC04;DEC0;DE_LU
DEC05;DEC0;DE_LU
DEC06;DEC0;DE_LU
DED21;DED2;DE_LU
DED2C;DED2;DE_LU
DED2D;DED2;DE_LU
DED2E;DED2;DE_LU
DED2F;DED2;DE_LU
DED41;DED4;DE_LU
DED42;DED4;DE_LU
DED43;DED4;DE_LU
DED44;DED4;DE_LU
DED45;DED4;DE_LU
DED51;DED5;DE_LU
DED52;DED5;DE_LU
DED53;DED5;DE_LU
DEE01;DEE0;DE_LU
DEE02;DEE0;DE_LU
DEE03;DEE0;DE_LU
DEE04;DEE0;DE_LU
DEE05;DEE0;DE_LU
DEE06;DEE0;DE_LU
DEE07;DEE0;DE_LU
DEE08;DEE0;DE_LU
DEE09;DEE0;DE_LU
DEE0A;DEE0;DE_LU
DEE0B;DEE0;DE_LU
DEE0C;DEE0;DE_LU
DEE0D;DEE0;DE_LU
DEE0E;DEE0;DE_LU
DEF01;DEF0;DE_LU
DEF02;DEF0;DE_LU
DEF03;DEF0;DE_LU
DEF04;DEF0;DE_LU
DEF05;DEF0;DE_LU
DEF06;DEF0;DE_LU
DEF07;DEF0;DE_LU
DEF08;DEF0;DE_LU
DEF09;DEF0;DE_LU
DEF0A;DEF0;DE_LU
DEF0B;DEF0;DE_LU
DEF0C;DEF0;DE_LU
DEF0D;DEF0;DE_LU
DEF0E;DEF0;DE_LU
DEF0F;DEF0;DE_LU
DEG01;DEG0;DE_LU
DEG02;DEG0;DE_LU
DEG03;DEG0;DE_LU
DEG04;DEG0;DE_LU
DEG05;DEG0;DE_LU
DEG06;DEG0;DE_LU
DEG07;DEG0;DE_LU
DEG09;DEG0;DE_LU
DEG0A;DEG0;DE_LU
DEG0B;DEG0;DE_LU
DEG0C;DEG0;DE_LU
DEG0D;DEG0;DE_LU
DEG0E;DEG0;DE_LU
DEG0F;DEG0;DE_LU
DEG0G;DEG0;DE_LU
DEG0H;DEG0;DE_LU
DEG0I;DEG0;DE_LU
DEG0J;DEG0;DE_LU
DEG0K;DEG0;DE_LU
DEG0L;DEG0;DE_LU
DEG0M;DEG0;DE_LU
